country,population,cases,deaths,todaydeaths,todayrecovered,recovered,infectedpercentage,deathpercentage,recoverypercentage
Guadeloupe,399794,203235,1021,0,0,0,50.83,0.5,0.0
Guatemala,18584039,1275314,20251,0,0,1253269,6.86,1.59,98.27
Guinea,13865691,38563,468,0,0,37757,0.28,1.21,97.91
Bahrain,1783983,725931,1570,0,0,724015,40.69,0.22,99.74
Cook Islands,17571,7152,2,0,0,7150,40.7,0.03,99.97
Costa Rica,5182354,1238883,9428,0,0,860711,23.91,0.76,69.47
Croatia,4059286,1274281,18292,0,0,1255780,31.39,1.44,98.55
Cuba,11305652,1115111,8530,0,0,1106516,9.86,0.76,99.23
Curaçao,165529,45986,295,0,0,44720,27.78,0.64,97.25
Cyprus,1223387,660854,1364,0,0,659490,54.02,0.21,99.79
Dominican Republic,11056370,667048,4384,0,0,644785,6.03,0.66,96.66
Ecuador,18113361,1069114,36042,0,0,1033072,5.9,3.37,96.63
Egypt,106156692,516023,24613,0,0,442182,0.49,4.77,85.69
El Salvador,6550389,201785,4230,0,0,179410,3.08,2.1,88.91
Equatorial Guinea,1496662,17229,183,0,0,16907,1.15,1.06,98.13
Eritrea,3662244,10189,103,0,0,10086,0.28,1.01,98.99
Estonia,1321910,619507,3001,0,0,524990,46.86,0.48,84.74
Ethiopia,120812698,500991,7574,0,0,488165,0.41,1.51,97.44
Faroe Islands,49233,34658,28,0,0,0,70.4,0.08,0.0
Fiji,909466,69117,885,0,0,67226,7.6,1.28,97.26
Finland,5554960,1484052,10157,0,29,1473335,26.72,0.68,99.28
France,65584518,40138560,167642,0,0,39970918,61.2,0.42,99.58
French Guiana,314169,98041,420,0,0,11254,31.21,0.43,11.48
French Polynesia,284164,78621,649,0,0,0,27.67,0.83,0.0
Gabon,2331533,48992,307,0,0,48674,2.1,0.63,99.35
Gambia,2558482,12626,372,0,0,12189,0.49,2.95,96.54
Georgia,3968738,1850905,17122,0,0,1776548,46.64,0.93,95.98
Germany,83883596,38428685,174352,0,0,38240600,45.81,0.45,99.51
Ghana,32395450,171740,1462,0,0,170255,0.53,0.85,99.14
Gibraltar,33704,20550,113,0,0,16579,60.97,0.55,80.68
Greece,10316637,6101379,37089,0,0,6064290,59.14,0.61,99.39
Greenland,56973,11971,21,0,0,2761,21.01,0.18,23.06
Grenada,113475,19693,238,0,0,19358,17.35,1.21,98.3
Kenya,56215221,343918,5689,0,0,337309,0.61,1.65,98.08
Kiribati,123419,5085,24,0,0,2703,4.12,0.47,53.16
Kuwait,4380326,666081,2570,0,0,660237,15.21,0.39,99.12
Kyrgyzstan,6728271,206897,2991,0,0,196406,3.08,1.45,94.93
Lithuania,2661708,1322861,9695,0,47,1312378,49.7,0.73,99.21
Congo,5797805,25375,386,0,0,24006,0.44,1.52,94.6
